model,AIC,% deviance
LOGWT~AGE (null model),57442,0
LOGWT~AGE+LOCATION,54069,0.06
LOGWT~AGE+YEAR,52749,0.13
LOGWT~AGE+SEASON,50342,0.18
LOGWT~AGE+COHORT,51879,0.15
LOGWT~AGE+SEX,55810,0.05
LOGWT~AGE+MATURITY,55174,0.06
LOGWT~AGE+MATURITY+LOCATION,51829,0.12
LOGWT~AGE+MATURITY+SEASON,48557,0.22
LOGWT~AGE+MATURITY+COHORT,49700,0.2
LOGWT~AGE+MATURITY+YEAR,50585,0.18
LOGWT~AGE+MATURITY+SEX,53455,0.11
LOGWT~AGE+MATURITY+SEASON+SEX,46757,0.26
LOGWT~AGE+MATURITY+SEASON+SEX+LOCATION,43566,0.32
LOGWT~AGE+MATURITY+SEASON+SEX+LOCATION+YEAR,37898,0.42
LOGWT~AGE+MATURITY+SEASON+SEX+LOCATION+COHORT+YEAR,35894,0.46
LOGWT~AGE+MATURITY+SEASON+SEX+LOCATION+COHORT+YEAR+AGE*LOCATION,35710,0.46
LOGWT~AGE+MATURITY+SEASON+SEX+LOCATION+COHORT+YEAR+MATURITY*SEASON,34361,0.48
LOGWT~AGE+MATURITY+SEASON+SEX+LOC+COHORT+YEAR+MATURITY*SEX,35785,0.46
LOGWT~AGE+MATURITY+SEASON+SEX+LOC+COHORT+YEAR+SEX*SEASON,35845,0.46
LOGWT~AGE+MATURITY+SEASON+SEX+LOC+COHORT+YEAR+SEAS/YEAR,35260,0.47
LOGWT~AGE+MATURITY+SEASON+SEX+COHORT+LOC+YEAR+MATURITY*AGE,35515,0.47
LOGWT~AGE+MATURITY+SEASON+SEX+COHORT+LOC+YEAR+SEX*AGE,35729,0.46
LOGWT~AGE+MATURITY+SEASON+SEX+COHORT+LOC+YEAR+YEAR*AGE,34652,0.48
LOGWT~AGE+MATURITY+SEASON+SEX+COHORT+LOC+YEAR+YEAR*LOCATION,34202,0.49
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
NA,NA,NA
